aggregated	self	category	text
89.83%	0.00%	2	ba	right
89.84%	0.00%	2	b	{D Well } good to hear
89.84%	0.00%	2	b	Uh-huh <barking>
89.84%	0.00%	2	b	Uh-huh   <<faintly>>
89.85%	0.00%	2	ba	Whoops
89.85%	0.00%	2	ba	{F Oh } whoa
89.86%	0.00%	2	ba	That sounds interesting
89.86%	0.00%	2	ba	{F Oh } {D well } that's great
89.87%	0.00%	2	ba	[ That's + that's ] wonderful
89.87%	0.00%	2	b	{D Well } all right
89.87%	0.00%	2	bh	really
89.88%	0.00%	2	b	I don't know
89.88%	0.00%	2	b	<Child>  Uh-huh
89.89%	0.00%	2	b	<Cough> Yeah
89.89%	0.00%	2	b	<<Very faint>> {F Huh }
89.90%	0.00%	2	ba	{D Well } that sounds neat
89.90%	0.00%	2	ba	{F Oh } my word <laughter>
89.90%	0.00%	2	b^m	WONDER YEARS
89.91%	0.00%	2	ba	This is true
89.91%	0.00%	2	b	<Laughter> {F Uh }
89.92%	0.00%	2	ba	{F Oh } I'll bet
89.92%	0.00%	2	ba	That is great
89.92%	0.00%	2	b	Okay {F um }
89.93%	0.00%	2	b	{F Um }  uh-huh
89.93%	0.00%	2	ba	That's horrible
89.94%	0.00%	2	b^m	no
89.94%	0.00%	2	ba	That's real nice
89.95%	0.00%	2	b	Okay <beep>
89.95%	0.00%	2	bd	that's okay <laughter>
89.95%	0.00%	2	br	What is that?
89.96%	0.00%	2	bk	uh-huh
89.96%	0.00%	2	ba	{D Well } sure
89.97%	0.00%	2	bh	{F Oh } is he?
89.97%	0.00%	2	bk	-- okay
89.98%	0.00%	2	b	<Laughter>  {F Oh } really
89.98%	0.00%	2	bk	{F Oh } okay <sniffing>
89.98%	0.00%	2	ba	{F oh } my God
89.99%	0.00%	2	ba	Good <laughter>
89.99%	0.00%	2	ba	{F Oh } how wonderful
90.00%	0.00%	2	b^m	Two cats
90.00%	0.00%	2	b	Right <clicking>
90.00%	0.00%	2	ba	That's not bad at all
90.01%	0.00%	2	ba	That's a real good idea
90.01%	0.00%	2	ba	I know <breathing>
90.02%	0.00%	2	ba	Yes
90.02%	0.00%	2	ba	That's great!
90.03%	0.00%	2	b	-- {F uh }
90.03%	0.00%	2	ba	{F Oh } that sounds interesting
90.03%	0.00%	2	ba	{F Oh } that must be nice
90.04%	0.00%	2	ba	It did
90.04%	0.00%	2	bk	{F Oh } all right
90.05%	0.00%	2	ba	that sounds nice
90.05%	0.00%	2	br	Pardon
90.06%	0.00%	2	b	{D Huh }
90.06%	0.00%	2	ba	{F Oh } my God <laughter>
90.06%	0.00%	2	ba	Good grief <laughter>
90.07%	0.00%	2	ba	That is good
90.07%	0.00%	2	ba	that is good
90.08%	0.00%	2	ba	<Laughter>  That's funny
90.08%	0.00%	2	br	{F Huh }
90.08%	0.00%	2	br	what?
90.09%	0.00%	2	ba	very true
90.09%	0.00%	2	bh	{F Oh } you have?
90.10%	0.00%	2	b	Oh <<very faintly>>
90.10%	0.00%	2	b^m	Okay <laughter>
90.11%	0.00%	2	ba	<Laughter> Gosh
90.11%	0.00%	2	ba	Bless your heart
90.11%	0.00%	2	ba	{F Oh } it is
90.12%	0.00%	2	ba	{D well
90.12%	0.00%	2	b	{F Um }  Okay
90.13%	0.00%	2	b	-- really
90.13%	0.00%	2	ba	{F Oh } I bet it was
90.14%	0.00%	2	ba	{F Oh } that is good
90.14%	0.00%	2	b	{C but } yeah
90.14%	0.00%	2	ba	{D Well } I understand
90.15%	0.00%	2	ba	I can understand
90.15%	0.00%	2	b	Yes --
90.16%	0.00%	2	b	Oh I see
90.16%	0.00%	2	b	Oh okay
90.16%	0.00%	2	ba	{D Well } that makes sense
90.17%	0.00%	2	b	Yes {D well }
90.17%	0.00%	2	ba	I can't imagine
90.18%	0.00%	2	bh	They do?
90.18%	0.00%	2	b	Right  ((   ))
90.19%	0.00%	2	ba	<Laughter> How funny
90.19%	0.00%	2	b	<laughter>  yeah
90.19%	0.00%	2	ba	{D Well } [ that's + that's ] good
90.20%	0.00%	2	ba	it's true
90.20%	0.00%	2	ba	Oh boy
90.21%	0.00%	2	ba	{F Oh } that's right
90.21%	0.00%	2	ba	<Laughter> That's neat
90.22%	0.00%	2	ba	My gosh
90.22%	0.00%	2	bk	{F Oh }  Okay
90.22%	0.00%	2	b	<Noise> Right
90.23%	0.00%	2	bh	{F oh } really?
90.23%	0.00%	2	ba	{C so } that's nice
90.24%	0.00%	2	ba	{F Oh } -
90.24%	0.00%	2	ba	Yow
90.24%	0.00%	2	b	<Laughter> Yeah <laughter>
90.25%	0.00%	2	b	Yeah <laughter> <<pause>>
90.25%	0.00%	2	ba	<Laughter> {F Oh } that's great
90.26%	0.00%	2	ba	That is nice
90.26%	0.00%	2	bh	{F Oh } you can?
90.27%	0.00%	2	ba	That makes sense
90.27%	0.00%	2	ba	{F Oh } very good
90.27%	0.00%	2	b	{D See } yeah
90.28%	0.00%	2	b	{F Oh } huh
90.28%	0.00%	2	b	<laughter>  Oh
90.29%	0.00%	2	b	Uh-huh <<very faintly>>
90.29%	0.00%	2	ba	{D Well } I can imagine
90.30%	0.00%	2	bh	Would you?
90.30%	0.00%	2	br	Pardon me
90.30%	0.00%	2	br	I'm sorry what?
90.31%	0.00%	2	br	I beg your pardon?
90.31%	0.00%	2	b	Gee
90.32%	0.00%	2	ba	{F Oh } how great
90.32%	0.00%	2	bh	{F Oh } really <laughter>?
90.32%	0.00%	2	ba	that's scary
90.33%	0.00%	2	b	Oh well
90.33%	0.00%	2	ba	Oh my goodness
90.34%	0.00%	2	bh	Do you really?
90.34%	0.00%	2	bh	{F Oh } it did?
90.35%	0.00%	2	b	{D Oh } yeah
90.35%	0.00%	2	b	<Lipsmack> Oh
90.35%	0.00%	2	b	((Yeah))
90.36%	0.00%	2	b	<<Very faint>> yeah
90.36%	0.00%	2	ba	Holy smoke
90.37%	0.00%	2	b	<<very faint>> uh-huh
90.37%	0.00%	2	bh	{F Oh } they do?
90.38%	0.00%	2	b	Uh-huh  <breathing>
90.38%	0.00%	2	ba	{F Oh } I know it
90.38%	0.00%	2	bk	{F Oh } really
90.39%	0.00%	2	ba	{D Well } that's good too
90.39%	0.00%	2	b	Huh-uh <laughter>
90.40%	0.00%	2	ba	That's funny <laughter>
90.40%	0.00%	2	ba	<Laughter>  {F Oh } dear
90.40%	0.00%	2	ba	that's amazing
90.41%	0.00%	2	ba	That sounds really good
90.41%	0.00%	2	ba	{F Oh } [ that's
90.42%	0.00%	2	b	{F Oh } Uh-huh
90.42%	0.00%	2	ba	{F Oh } my gosh <laughter>
90.43%	0.00%	2	b	Yeah  <<faint>>
90.43%	0.00%	2	ba	That is neat
90.43%	0.00%	2	b	Okay {D well }
90.44%	0.00%	2	bh	really?
90.44%	0.00%	2	ba	It's amazing
90.45%	0.00%	2	bh	You think?
90.45%	0.00%	2	b	Yeah <cough>
90.46%	0.00%	2	b	Uh-huh <child_talking>
90.46%	0.00%	2	bh	{F Oh }  is that right?
90.46%	0.00%	2	ba	{F Oh } how awful
90.47%	0.00%	2	ba	I'll be darn
90.47%	0.00%	2	b	<Meow> Yeah
90.48%	0.00%	2	b	Uh- -
90.48%	0.00%	2	ba	No
90.49%	0.00%	2	ba	That's true too
90.49%	0.00%	2	bk	{F Oh } {F oh } okay
90.49%	0.00%	2	ba	{F Oh } that's too bad
90.50%	0.00%	2	b	((   ))  Yeah
90.50%	0.00%	2	ba	For sure
90.51%	0.00%	2	br	{F Um? }
90.51%	0.00%	2	b	{F Oh } I  see
90.51%	0.00%	2	ba	Sounds neat
90.52%	0.00%	2	b	all right
90.52%	0.00%	2	ba	I can believe that
90.53%	0.00%	2	b	All right {F uh }
90.53%	0.00%	2	b	{F Oh } gosh
90.54%	0.00%	2	ba	Of course
90.54%	0.00%	2	b	okay <laughter>
90.54%	0.00%	2	ba	I believe that
90.55%	0.00%	2	b^m	Dallas
90.55%	0.00%	2	ba	<Laughter> {F Oh } gosh
90.56%	0.00%	2	ba	No kidding!
90.56%	0.00%	2	b	{F Uh } oh
90.57%	0.00%	2	ba	{F Oh } that is great
90.57%	0.00%	2	b	{F Huh } yeah
90.57%	0.00%	2	ba	[ I + I ] can imagine
90.58%	0.00%	2	ba	<Laughter> I know what you mean
90.58%	0.00%	2	b^m	{C And } yeah
90.59%	0.00%	2	ba	<Laughter> I know
90.59%	0.00%	2	b	{C And then } yeah
90.59%	0.00%	2	bk	{F Oh } okay {F um }
90.60%	0.00%	2	b^m	Paris
90.60%	0.00%	2	bf	It's real hard
90.61%	0.00%	2	ba	Absolutely
90.61%	0.00%	2	ba	That's excellent
90.62%	0.00%	2	ba	{F Oh }  yeah
90.62%	0.00%	2	bh	You don't?
90.62%	0.00%	2	ba	<Laughter> I bet
90.63%	0.00%	2	b	right <noise>
90.63%	0.00%	2	ba	{D Well } that's funny
90.64%	0.00%	2	ba	<Laughter> {F Oh } goodness
90.64%	0.00%	2	b	Yeah <clicking>
90.65%	0.00%	2	ba	I think that's wonderful
90.65%	0.00%	2	bh	No kidding
90.65%	0.00%	2	ba	<Laughter> That's great
90.66%	0.00%	2	b	<<Very faint>> Huh
90.66%	0.00%	2	ba	Fantastic
90.67%	0.00%	2	b^m	In Dallas
90.67%	0.00%	2	ba	{F Oh } that would be great
90.67%	0.00%	2	ba	{D Well } I'll be darned
90.68%	0.00%	2	ba	{D well } good
90.68%	0.00%	2	ba	{F Oh } yuck
90.69%	0.00%	2	bk	Okay <<faint>>
90.69%	0.00%	2	ba	{F Hm } that's interesting
90.70%	0.00%	2	b	<Noise>  Yeah
90.70%	0.00%	2	b	of course
90.70%	0.00%	2	ba	I will be darned
90.71%	0.00%	2	b	Yes {F um }
90.71%	0.00%	2	b	<<Very faint>>  Oh
90.72%	0.00%	2	ba	Oh no
90.72%	0.00%	2	ba	It sure does
90.73%	0.00%	2	ba	Nice
90.73%	0.00%	2	ba	{F Oh } I see <laughter>
90.73%	0.00%	2	ba	{F Oh } mercy
90.74%	0.00%	2	b	Right yeah
90.74%	0.00%	2	ba	that's cool
90.75%	0.00%	2	b	[ Ye- + yes ]
90.75%	0.00%	2	b	{F Oh } well
90.75%	0.00%	2	b	Absolutely
90.76%	0.00%	2	ba	{D Well } good for you
90.76%	0.00%	2	bk	<Laughter> Okay
90.77%	0.00%	2	ba	{F Oh } shoot
90.77%	0.00%	2	b	<Sniffing> Uh-huh
90.78%	0.00%	2	bh	Did you really?
90.78%	0.00%	2	ba	That is sad
90.78%	0.00%	1	bf	{C And } they
90.78%	0.00%	1	bf	You don't have to go out and borrow it  somewhere and do that
90.79%	0.00%	1	ba	Uh!
90.79%	0.00%	1	bk	Two
90.79%	0.00%	1	ba	Wow  <<pause>>
90.79%	0.00%	1	ba	I'll say <laughter>
90.79%	0.00%	1	ba	{F Huh }  Interesting story
90.80%	0.00%	1	bh	is that so?
90.80%	0.00%	1	ba	{F Oh }  you're kidding <laughter>
90.80%	0.00%	1	b	Tahiti
90.80%	0.00%	1	b	Yes {F uh }
90.81%	0.00%	1	br	Say?
90.81%	0.00%	1	ba	{D well } {F um } [ [ that + that ]  sounds + that sounds ] pretty good for -
90.81%	0.00%	1	bf	you are not {D right
90.81%	0.00%	1	ba	Good point
90.81%	0.00%	1	bf	they learn how many centimeters are in an inch
90.82%	0.00%	1	br	Two hours where?
90.82%	0.00%	1	b^m	Gary Gilmore
90.82%	0.00%	1	ba	thank God
90.82%	0.00%	1	bh	Boy that's scary isn't it
90.82%	0.00%	1	bk	<Throat_clearing>  {F Oh } okay
90.83%	0.00%	1	bh	What <laughter>?
90.83%	0.00%	1	bh	{D well } is that right? <laughter>
90.83%	0.00%	1	b	{D well
90.83%	0.00%	1	b	<Laughter> I see
90.83%	0.00%	1	ba	{F Oh } lovely
90.84%	0.00%	1	ba	[ Makes good + makes good  ] sense
90.84%	0.00%	1	b	Um --
90.84%	0.00%	1	b	</Barking> Uh-huh
90.84%	0.00%	1	ba	{C But } {F uh } [ that + that ] was interesting
90.85%	0.00%	1	b	{F Oh } that's not bad
90.85%	0.00%	1	bf	[ [ That + that ] + that ] counts
90.85%	0.00%	1	bh	Is that right <laughter>?
90.85%	0.00%	1	bf	To another place
90.85%	0.00%	1	bf	{C So } [ the lawyers + the two lawyers ]  are the ones that have all the information
90.86%	0.00%	1	b^m	Two years
90.86%	0.00%	1	bf	Strictly your skill
90.86%	0.00%	1	b	((   ))  {F oh } uh-huh
90.86%	0.00%	1	bf	[ no + not ] real spread in age
90.86%	0.00%	1	ba	{C But } that's great
90.87%	0.00%	1	ba	{F Um } that's kind of an odd color for a bathroom
90.87%	0.00%	1	bf	Autocrossing is -
90.87%	0.00%	1	bf	Clyde the iguana
90.87%	0.00%	1	ba	{F Oh } that's true
90.87%	0.00%	1	ba	{F Oh } it sounds like it
90.88%	0.00%	1	bf	{F Oh } you're -
90.88%	0.00%	1	ba	I understand that <laughter>
90.88%	0.00%	1	ba	{F Uh } that's not very -
90.88%	0.00%	1	ba	To bad {F huh } /  *[[spelling: too]
90.89%	0.00%	1	b	Two girls
90.89%	0.00%	1	ba	-- {C because } that's great
90.89%	0.00%	1	b^m	With computers
90.89%	0.00%	1	b	{D [ [ W- + w-  ] + well ] } yeah
90.89%	0.00%	1	bf	{C and } -
90.90%	0.00%	1	ba	{E I mean } gee whiz
90.90%	0.00%	1	b	{F Huh }   Yeah
90.90%	0.00%	1	ba	that's frustrating
90.90%	0.00%	1	bk	{F Oh } I see <throat_clearing>
90.90%	0.00%	1	bh	{F Oh } really?   <<Voices fade>>
90.91%	0.00%	1	bf	the jeezer music as I call it
90.91%	0.00%	1	ba	{F oh } boy <laughter>
90.91%	0.00%	1	bf	No returned checks or anything
90.91%	0.00%	1	b^m	Acoustics {F uh }
90.91%	0.00%	1	bf	{C So }  [ [ you're + you're down ] + you're downtown ]
90.92%	0.00%	1	ba	that would be nice
90.92%	0.00%	1	bh	{F Oh } really?  <laughter>
90.92%	0.00%	1	ba	[ I + I  ] really bet it was <sniffing>
90.92%	0.00%	1	bf	ha- have a lot of values
90.93%	0.00%	1	bf	{C So } you got to make {F uh } -
90.93%	0.00%	1	ba	That's good to know
90.93%	0.00%	1	ba	<Lipsmack>  {F Oh
90.93%	0.00%	1	ba	nowhere near that expensive
90.93%	0.00%	1	bf	You do it <noise>
90.94%	0.00%	1	bh	Really? <laughter>
90.94%	0.00%	1	ba	You're kidding <laughter>
90.94%	0.00%	1	ba	Wonderful place
90.94%	0.00%	1	ba	That's very interesting
90.94%	0.00%	1	ba	mine too
90.95%	0.00%	1	b^m	The Restaurant Ha- -
90.95%	0.00%	1	bf	{C And } that softens it up huh
90.95%	0.00%	1	b^m	F R I S E
90.95%	0.00%	1	bf	To use you mean
90.95%	0.00%	1	b	{F oh } really
90.96%	0.00%	1	ba	{F Oh } {D well } that is fortunate
90.96%	0.00%	1	b	<Barking> Yeah
90.96%	0.00%	1	ba	-- forget it
90.96%	0.00%	1	b	{F Uh- } yeah
90.97%	0.00%	1	b^m	for two
90.97%	0.00%	1	bf	those basic things [ that {F uh }  [ they would + that {D you know } you would ] be a little bit of {F uh } I don't know if manners is a good term or not but
90.97%	0.00%	1	ba	-- that's always good
90.97%	0.00%	1	bd	no thanks
90.97%	0.00%	1	ba	{F Oh } good idea
90.98%	0.00%	1	b	{F Oh } d- <laughter> -
90.98%	0.00%	1	b	{C But } {F um } -
90.98%	0.00%	1	ba	<Laughter> You're kidding
90.98%	0.00%	1	ba	{F Oh } my God the poor woman
90.98%	0.00%	1	b^m	Four and five
90.99%	0.00%	1	b	{F Oh } god
90.99%	0.00%	1	bf	{F Oh } it's a brand new book
90.99%	0.00%	1	bh	<Laughter> {F Oh } yeah?
90.99%	0.00%	1	bh	<Baby_talking> Really?
90.99%	0.00%	1	ba	Gee <<whispered>>
91.00%	0.00%	1	b	Yeah {F Uh }
91.00%	0.00%	1	bf	{C Because } [ [ you're + you've ] + you've ] sat down with a piece of paper <laughter> and said {D well } let's see what are we going to -
91.00%	0.00%	1	ba	Wow  That's [ a + a ] big job
91.00%	0.00%	1	ba	That is lucky
91.01%	0.00%	1	bf	The spice
91.01%	0.00%	1	b	Oh  {F Uh }
91.01%	0.00%	1	ba	I can  imagine
91.01%	0.00%	1	ba	<Lipsmack> I bet
91.01%	0.00%	1	bf	Kind of a coarse kind of test
91.02%	0.00%	1	b^m	every morning
91.02%	0.00%	1	bf	Do volunteer work  and
91.02%	0.00%	1	ba	{F Uh } sounds wonderful
91.02%	0.00%	1	bf	{F Oh } the big company
91.02%	0.00%	1	ba	{D Well } that will be interesting
91.03%	0.00%	1	ba	{F Oh } that would -
91.03%	0.00%	1	bh	{C But } what is it worth?
91.03%	0.00%	1	ba	{C And } I know where  you're coming from --
91.03%	0.00%	1	ba	That's sounds fun too
91.03%	0.00%	1	b	under bricks or under wood
91.04%	0.00%	1	b^m	E D P
91.04%	0.00%	1	ba	{D well } [ that's + that's ] neat
91.04%	0.00%	1	ba	{D Well } that's too bad
91.04%	0.00%	1	ba	{F Oh } man!
91.05%	0.00%	1	ba	{D Well } that's really sad
91.05%	0.00%	1	ba	{F oh } how funny
91.05%	0.00%	1	ba	{F oh } that's good
91.05%	0.00%	1	ba	hey
91.05%	0.00%	1	ba	{D Well } it does sound very interesting
91.06%	0.00%	1	ba	It's right
91.06%	0.00%	1	b	{D Well } -- -
91.06%	0.00%	1	bf	Pretax insurance?
91.06%	0.00%	1	ba	{F Oh } pretty ones
91.06%	0.00%	1	ba	{D Well } gee whiz
91.07%	0.00%	1	ba	That is wonderful
91.07%	0.00%	1	b	Right <sniffing>
91.07%	0.00%	1	br	A tent?
91.07%	0.00%	1	b	Yeah </Baby_talking>
91.07%	0.00%	1	ba	it really is
91.08%	0.00%	1	ba	What an experience
91.08%	0.00%	1	ba	I will be darn
91.08%	0.00%	1	b	<Clink>  <squeak>  Uh-huh
91.08%	0.00%	1	ba	[ I + I ] tell you what
91.09%	0.00%	1	bh	That's it?
91.09%	0.00%	1	ba	My goodness gracious that's -
91.09%	0.00%	1	b^m	small world
91.09%	0.00%	1	bf	Tends to tends to strap only the legitimate people
91.09%	0.00%	1	b	Hm <laughter>
91.10%	0.00%	1	b	{F uh
91.10%	0.00%	1	bf	That would  be premeditated <laughter>
91.10%	0.00%	1	bh	Really?  <Child_talking>
91.10%	0.00%	1	b^m	The Ninety-Eight
91.10%	0.00%	1	ba	That is pretty good
91.11%	0.00%	1	b	</Talking> Yeah
91.11%	0.00%	1	b	<breathing> Yes <exhaling>
91.11%	0.00%	1	ba	{D Well } that sounds adventuresome  <laughter>
91.11%	0.00%	1	ba	[ That's + that's ] not a bad system
91.11%	0.00%	1	bf	Just kind of -
91.12%	0.00%	1	bf	You don't
91.12%	0.00%	1	b	<Laughter>  Okay {F uh }
91.12%	0.00%	1	ba	{F Ooh } that's great
91.12%	0.00%	1	bf	{F Oh } [ that + that ] you mean about the
91.13%	0.00%	1	b^m	Bermuda
91.13%	0.00%	1	b	{D well } <laughter> -
91.13%	0.00%	1	ba	I'm sure it does
91.13%	0.00%	1	b	{D You know }  {D like }  yeah
91.13%	0.00%	1	bf	{C and } cans laying -
91.14%	0.00%	1	b	Sure --
91.14%	0.00%	1	bf	you figure
91.14%	0.00%	1	bk	B Y U
91.14%	0.00%	1	b^m	And cheap
91.14%	0.00%	1	bf	I gather you get a lot of telephone calls
91.15%	0.00%	1	ba	A whole new world
91.15%	0.00%	1	ba	{C And } that's a problem
91.15%	0.00%	1	bf	{F Oh } {C so } it's worth taking them back
91.15%	0.00%	1	ba	[ that's + that's  ] a good idea
91.16%	0.00%	1	br	{F Uh } pardon?
91.16%	0.00%	1	bf	You think that that's {F uh } pretty  adequate coverage
91.16%	0.00%	1	b	They did
91.16%	0.00%	1	bf	Like out of nowhere?
91.16%	0.00%	1	b	{C And so } yeah
91.17%	0.00%	1	bk	{F Oh } I see  {F Uh }
91.17%	0.00%	1	bh	{F Oh } is that right
91.17%	0.00%	1	br	LIFE EXTENSIONS?
91.17%	0.00%	1	b	<Throat_clearing> {C And }  {F uh } yeah
91.17%	0.00%	1	b	{F Huh }  yeah
91.18%	0.00%	1	bf	seeing how you really [ are cre- + [ are + are ] forming ] [ this
91.18%	0.00%	1	b^m	right  here Bambi <laughter>
91.18%	0.00%	1	ba	{F Oh } that sounds so easy what I did
91.18%	0.00%	1	b^m	Out of each child
91.18%	0.00%	1	br	You're now in what?
91.19%	0.00%	1	ba	Very good point
91.19%	0.00%	1	ba	My goodness {F uh }
91.19%	0.00%	1	b^m	Garth Brooks
91.19%	0.00%	1	b	-- interesting
91.20%	0.00%	1	ba	{C and }  gosh
91.20%	0.00%	1	b	-- right
91.20%	0.00%	1	bf	[ To + to ] fool people
91.20%	0.00%	1	ba	{F Oh } {D well that's pretty good }
91.20%	0.00%	1	b^m	Yeah <swallowing>
91.21%	0.00%	1	ba	That would be really awful
91.21%	0.00%	1	bf	{C so } when you turn in the cans unsmashed you're just {D like }  reimbursed
91.21%	0.00%	1	ba	{F Oh } I think that is really interesting
91.21%	0.00%	1	bf	You've got to <laughter> yeah
91.21%	0.00%	1	bf	Get a real job full time
91.22%	0.00%	1	br	<Throat_clearing> The ones that what?
91.22%	0.00%	1	bk	{F Oh } I know exactly where that is
91.22%	0.00%	1	ba	good deal --
91.22%	0.00%	1	ba	{D Well } that's pretty wild
91.22%	0.00%	1	bf	{C and } the benefits you're getting for that hundred dollars a semester {F uh } [ you + you ] never use because you just use your wife's
91.23%	0.00%	1	ba	I would imagine so
91.23%	0.00%	1	b	She went
91.23%	0.00%	1	b^m	real pretty like a swamp
91.23%	0.00%	1	bf	[ The + the ] wide open the spaces -
91.24%	0.00%	1	b^m	Both
91.24%	0.00%	1	ba	{F Oh } [ that's + that's ] good
91.24%	0.00%	1	b	fine
91.24%	0.00%	1	bf	because that was {D like } what he was used to
91.24%	0.00%	1	ba	That's the way to do it
91.25%	0.00%	1	ba	[ {F Oh }  that's
91.25%	0.00%	1	bf	You're down there on  {D you know } twentieth and eighteenth and -
91.25%	0.00%	1	ba	{F Oh } gracious
91.25%	0.00%	1	b	Sesame seeds and bread crumbs
91.25%	0.00%	1	ba	{D Well } that's great to know
91.26%	0.00%	1	bk	{F Oh } wow
91.26%	0.00%	1	bf	{D So } your wife -
91.26%	0.00%	1	ba	Gee whiz
91.26%	0.00%	1	ba	[ That's a + that's quite a ] concept
91.26%	0.00%	1	bf	{F Oh }  like everything else
91.27%	0.00%	1	ba	She is
91.27%	0.00%	1	bf	{F Oh } in the elementary schools
91.27%	0.00%	1	ba	{F Oh } wow  <Laughter>
91.27%	0.00%	1	bd	{D Well } that's all right
91.28%	0.00%	1	ba	<Laughter>  There you go
91.28%	0.00%	1	bf	[ Ther- + there's ] a lot of work to be done
91.28%	0.00%	1	bf	get out of my cabinets
91.28%	0.00%	1	b^m	you do have a separate area
91.28%	0.00%	1	ba	{F Oh } how interesting
91.29%	0.00%	1	ba	{D Well } [ that + that's  ] good
91.29%	0.00%	1	b^m	[ for the sch- + for the kids ]
91.29%	0.00%	1	ba	{F Oh } {F oh } I know
91.29%	0.00%	1	ba	You've  got something going all the time
91.29%	0.00%	1	bf	Once you're there you're all set though
91.30%	0.00%	1	ba	Not after wor-  -
91.30%	0.00%	1	bh	What can we do about it?
91.30%	0.00%	1	b	<Click> </Static> Yeah
91.30%	0.00%	1	ba	-- man
91.30%	0.00%	1	ba	True <<long pause>>
91.31%	0.00%	1	ba	{F uh } {F oh } shoot
91.31%	0.00%	1	ba	Unbelievable
91.31%	0.00%	1	ba	That's the way it goes I guess
91.31%	0.00%	1	ba	<Laughter> Isn't that the truth
91.32%	0.00%	1	b	Uh-huh -
91.32%	0.00%	1	b^m	He got sick
91.32%	0.00%	1	ba	how about that
91.32%	0.00%	1	ba	-- I'm sure it is
91.32%	0.00%	1	ba	Sounds like a good idea
91.33%	0.00%	1	b	Usually yeah
91.33%	0.00%	1	ba	{F Oh } {D see } {D now } that's really nice
91.33%	0.00%	1	br	who?
91.33%	0.00%	1	ba	((   ))  tell me about it
91.33%	0.00%	1	ba	{F Oh } just beautiful
91.34%	0.00%	1	bf	[ You  + ((   ))  you ]  would not be pulling it out of your account all of the time -
91.34%	0.00%	1	ba	(( {D Well } [ that )) +    -
91.34%	0.00%	1	b	Don't like to cook huh?
91.34%	0.00%	1	ba	{D Well } [ that's good + -
91.34%	0.00%	1	b^m	Two pounds
91.35%	0.00%	1	b	Yeah <<pause>> <lipsmack>
91.35%	0.00%	1	ba	What a hassle
91.35%	0.00%	1	ba	That's a good one
91.35%	0.00%	1	bf	{F Oh } you went to the dollar movie?
91.36%	0.00%	1	br	Dye Mound?
91.36%	0.00%	1	bf	Couldn't catch one to save your life  {F Huh }
91.36%	0.00%	1	bf	You knew that was it
91.36%	0.00%	1	bf	he works for T I
91.36%	0.00%	1	ba	{F Oh }  <laughter> That's nice
91.37%	0.00%	1	b	See  -
91.37%	0.00%	1	ba	that's still fairly new
91.37%	0.00%	1	ba	{D Well } you're very fortunate
91.37%	0.00%	1	b	<noise>  Yeah
91.37%	0.00%	1	bd	{F Oh } {D well } that's okay {F um }
91.38%	0.00%	1	b	<barking> Uh-huh
91.38%	0.00%	1	b	<Talking> <<radio very faint>> Yes
91.38%	0.00%	1	bf	Your kids
91.38%	0.00%	1	ba	{F oh } gee
91.38%	0.00%	1	b^m	Portland
91.39%	0.00%	1	bf	{C But }  your teacher had control
91.39%	0.00%	1	bf	Registering our garbage <laughter>
91.39%	0.00%	1	ba	{F Oh } {F oh } my God
91.39%	0.00%	1	bf	Have that -
91.40%	0.00%	1	bf	{F Oh } you think children -
91.40%	0.00%	1	ba	{F Oh } {D well } how interesting
91.40%	0.00%	1	ba	There's great
91.40%	0.00%	1	b^m	lawn
91.40%	0.00%	1	ba	I  do the same thing
91.41%	0.00%	1	b	{C But } {F uh } no
91.41%	0.00%	1	ba	<Laughter> {F Oh } I know it
91.41%	0.00%	1	bh	{F Oh } really <<louder>>
91.41%	0.00%	1	bf	food and junk to carry out
91.41%	0.00%	1	bk	{F Uh } uh-huh
91.42%	0.00%	1	bf	<Laughter>  A train of cats running around
91.42%	0.00%	1	b	Is that right <laughter>
91.42%	0.00%	1	b	<Laughter> <breathing> {D well } -
91.42%	0.00%	1	ba	I would think so
91.42%	0.00%	1	bf	{F Oh } {C so } yours is mostly just a hobby too then
91.43%	0.00%	1	b^m	You're crazy <laughter>
91.43%	0.00%	1	bf	<Throat_clearing> You mean instead of people
91.43%	0.00%	1	ba	<Breathing> {F Uh } gosh
91.43%	0.00%	1	ba	{C and } gee {D you know }
91.44%	0.00%	1	bf	That was yours
91.44%	0.00%	1	b^m	home cooked Tex-Mex
91.44%	0.00%	1	bh	Isn't that the truth?
91.44%	0.00%	1	bf	{D Well }  {C so } they evacuated it <laughter>
91.44%	0.00%	1	bf	That they that they like pick on th- the advanced students and pay more attention to them
91.45%	0.00%	1	b	<Child> Uh-huh
91.45%	0.00%	1	b^m	Alzheimer
91.45%	0.00%	1	bk	Okay  <Lipsmack>
91.45%	0.00%	1	bf	Actual names
91.45%	0.00%	1	ba	That's   good
91.46%	0.00%	1	bf	{C so } you get a lot more rain that way
91.46%	0.00%	1	ba	(( That [ doesn't ))
91.46%	0.00%	1	bf	as opposed to paying for cable
91.46%	0.00%	1	b	Yeah  {F oh }
91.46%	0.00%	1	bf	That's where it gets its name obviously {F huh }
91.47%	0.00%	1	b^m	You didn't see that
91.47%	0.00%	1	b	um
91.47%	0.00%	1	bf	{C So } there's lots to do
91.47%	0.00%	1	ba	that's pretty wild
91.48%	0.00%	1	b	{F Um } <laughter>
91.48%	0.00%	1	ba	{F Uh } that makes a big difference
91.48%	0.00%	1	b	Kind of <laughter>
